DateTime,Air temperature - average (°C),Relative humidity (%),Precipitation (mm),Solar radiation - horizontal (Wh/m²),Atmospheric pressure (kPa),Wind speed (m/s),Earth temperature (°C)
31-12-2018 19:00,3.72,96.81%,2.36,0,99.27,7.49,3.4
31-12-2018 20:00,3.11,96.75%,1.47,0,99.04,6.63,3.02
31-12-2018 21:00,3.51,97.94%,0.25,0,98.8,4.29,3.17
31-12-2018 22:00,4.49,98.75%,0.19,0,98.56,4.37,3.37
31-12-2018 23:00,6.1,99.00%,0.13,0,98.39,9.2,3.99
01-01-2019 00:00,7.7,96.94%,0.12,0,98.32,12.63,4.82
01-01-2019 01:00,7.61,95.00%,2.06,0,98.43,13.95,4.88
01-01-2019 02:00,6.04,92.81%,0.47,0,98.58,13.96,4.32
01-01-2019 03:00,3.64,91.62%,0.11,0,98.84,12.21,3.46
01-01-2019 04:00,1.82,87.12%,0,0,99.17,10.36,2.57
01-01-2019 05:00,1.51,85.75%,0,0,99.56,9.37,2.36
01-01-2019 06:00,1.39,84.62%,0,0,99.97,9.91,2.33
01-01-2019 07:00,0.91,83.19%,0,0,100.27,9.86,2.19
01-01-2019 08:00,0.55,80.56%,0.01,44.69,100.53,9.51,2.29
01-01-2019 09:00,0.46,77.56%,0,120.91,100.71,9.02,2.66
01-01-2019 10:00,0.49,74.81%,0,218.93,100.79,8.46,3.03
01-01-2019 11:00,0.64,72.56%,0.01,311.99,100.84,8.2,3.29
01-01-2019 12:00,0.73,70.88%,0.05,315.34,100.87,7.99,3.36
01-01-2019 13:00,0.69,70.00%,0.05,286.45,100.92,7.67,3.21
01-01-2019 14:00,0.46,69.75%,0.03,241.98,101.02,7.5,2.85
01-01-2019 15:00,-0.01,70.44%,0.01,115.42,101.13,7.24,2.28
01-01-2019 16:00,-0.88,72.88%,0.01,25.58,101.25,6.61,1.52
01-01-2019 17:00,-1.78,74.69%,0,0,101.34,6.15,1.08
01-01-2019 18:00,-2.52,75.56%,0,0,101.39,5.86,0.8
01-01-2019 19:00,-3.12,75.50%,0,0,101.45,5.4,0.62
01-01-2019 20:00,-3.59,74.88%,0,0,101.46,4.76,0.55
01-01-2019 21:00,-4.01,74.19%,0,0,101.44,4.14,0.47
01-01-2019 22:00,-4.38,74.50%,0,0,101.43,3.77,0.34
01-01-2019 23:00,-4.77,75.88%,0,0,101.41,3.21,0.13
02-01-2019 00:00,-4.97,76.31%,0,0,101.43,2.93,0.13
02-01-2019 01:00,-4.97,75.75%,0,0,101.51,3.01,0.31
02-01-2019 02:00,-5.21,77.69%,0,0,101.57,3.06,-0.06
02-01-2019 03:00,-5.51,79.19%,0,0,101.58,3.17,-0.38
02-01-2019 04:00,-5.72,79.19%,0,0,101.58,3.1,-0.51
02-01-2019 05:00,-5.88,78.50%,0,0,101.62,2.86,-0.62
02-01-2019 06:00,-5.96,76.56%,0,0,101.68,2.35,-0.7
02-01-2019 07:00,-5.92,73.69%,0,0,101.69,1.85,-0.74
02-01-2019 08:00,-5.44,71.19%,0,46.39,101.68,1.7,-0.01
02-01-2019 09:00,-4.3,68.38%,0,144.4,101.66,1.86,1.35
02-01-2019 10:00,-3.42,66.88%,0,193.87,101.61,1.84,2.16
02-01-2019 11:00,-2.83,66.69%,0,245.12,101.51,1.78,2.54
02-01-2019 12:00,-2.41,67.31%,0,195.33,101.37,1.8,2.58
02-01-2019 13:00,-1.97,69.25%,0,159.51,101.23,2.11,2.62
02-01-2019 14:00,-1.65,71.81%,0.01,102.72,101.08,2.45,2.45
02-01-2019 15:00,-1.38,74.50%,0.02,38.3,100.95,2.74,2.17
02-01-2019 16:00,-1.24,78.31%,0.05,22.6,100.89,2.6,1.76
02-01-2019 17:00,-0.88,81.06%,0.07,0,100.78,3.11,1.76
02-01-2019 18:00,-0.43,82.31%,0.09,0,100.67,3.72,1.76
02-01-2019 19:00,-0.03,83.31%,0.11,0,100.56,3.86,1.78
02-01-2019 20:00,0.32,84.44%,0.14,0,100.42,3.58,1.87
02-01-2019 21:00,0.52,86.31%,0.13,0,100.26,3.5,1.88
02-01-2019 22:00,0.74,88.81%,0.16,0,100.09,3.59,1.9
02-01-2019 23:00,1.01,91.94%,0.23,0,99.98,3.46,1.98
03-01-2019 00:00,1.34,94.56%,0.17,0,99.94,4.22,2.14
03-01-2019 01:00,1.34,95.88%,1.71,0,99.95,6.28,2.27
03-01-2019 02:00,0.8,93.69%,0.39,0,100.05,7.78,2.1
03-01-2019 03:00,0.05,91.62%,0.1,0,100.14,8.12,1.68
03-01-2019 04:00,-0.45,92.12%,0.1,0,100.19,7.97,1.49
03-01-2019 05:00,-0.71,91.69%,0.11,0,100.25,7.8,1.34
03-01-2019 06:00,-0.7,89.00%,0.09,0,100.32,7.96,1.29
03-01-2019 07:00,-0.51,85.50%,0.05,0,100.41,8.07,1.41
03-01-2019 08:00,-0.21,82.88%,0.04,22.24,100.47,7.83,1.73
03-01-2019 09:00,0.36,77.81%,0.05,59.45,100.48,7.79,2.33
03-01-2019 10:00,0.7,74.44%,0.07,93.79,100.46,8.04,2.77
03-01-2019 11:00,0.88,73.88%,0.18,133.29,100.42,8.3,3.01
03-01-2019 12:00,1.07,74.31%,0.31,125.77,100.36,8.59,2.92
03-01-2019 13:00,1.29,74.44%,0.39,110.8,100.32,8.93,2.93
03-01-2019 14:00,1.38,75.00%,0.33,99.66,100.31,9.08,2.82
03-01-2019 15:00,1.33,76.31%,0.21,73.38,100.31,8.95,2.56
03-01-2019 16:00,1.19,78.19%,0.15,16.21,100.32,8.5,2.24
03-01-2019 17:00,1.03,79.81%,0.05,0,100.31,8.12,2.01
03-01-2019 18:00,1,80.88%,0.02,0,100.28,8.27,1.96
03-01-2019 19:00,1.22,81.06%,0.01,0,100.27,9.03,2.14
03-01-2019 20:00,1.49,81.12%,0,0,100.23,10,2.33
03-01-2019 21:00,1.73,82.06%,0,0,100.17,10.05,2.4
03-01-2019 22:00,1.85,83.38%,0,0,100.12,9.7,2.41
03-01-2019 23:00,1.62,86.69%,0,0,100.05,8.71,2.21
04-01-2019 00:00,1.48,88.75%,0,0,99.97,8.58,2.18
04-01-2019 01:00,1.57,89.56%,0.21,0,99.94,9.22,2.26
04-01-2019 02:00,1.87,88.94%,0.21,0,100.01,10.39,2.44
04-01-2019 03:00,1.99,89.06%,0.21,0,99.97,10.14,2.5
04-01-2019 04:00,1.9,89.94%,0.02,0,99.9,9.52,2.41
04-01-2019 05:00,1.83,91.12%,0.04,0,99.82,9.35,2.37
04-01-2019 06:00,1.86,91.75%,0.05,0,99.81,9.52,2.4
04-01-2019 07:00,1.92,91.25%,0.09,0,99.84,9.77,2.44
04-01-2019 08:00,2.24,89.38%,0.09,61.11,99.85,10.18,2.78
04-01-2019 09:00,2.9,86.31%,0.06,194.39,99.88,10.78,3.33
04-01-2019 10:00,3.68,82.56%,0.01,320.16,99.87,10.94,3.77
04-01-2019 11:00,4.38,79.44%,0,393.22,99.77,10.27,4.14
04-01-2019 12:00,4.97,77.12%,0,408.61,99.65,8.78,4.4
04-01-2019 13:00,5.37,76.31%,0,372.42,99.57,7.26,4.48
04-01-2019 14:00,5.41,77.88%,0,292.3,99.52,5.98,4.28
04-01-2019 15:00,4.89,81.81%,0,161.24,99.52,5.35,3.54
04-01-2019 16:00,3.91,85.75%,0,33.19,99.55,5.51,2.41
04-01-2019 17:00,3.33,88.88%,0,0,99.57,5.38,2.05
04-01-2019 18:00,3.04,91.25%,0,0,99.58,5.02,1.93
04-01-2019 19:00,2.75,93.69%,0,0,99.59,4.55,1.79
04-01-2019 20:00,2.52,95.69%,0,0,99.58,4.04,1.66
04-01-2019 21:00,2.38,97.12%,0,0,99.51,3.27,1.54
04-01-2019 22:00,2.21,98.00%,0,0,99.44,2.71,1.46
04-01-2019 23:00,1.92,98.19%,0,0,99.42,2.64,1.51
05-01-2019 00:00,1.4,97.88%,0.01,0,99.4,3.04,1.61
05-01-2019 01:00,0.79,97.25%,0,0,99.36,4.17,1.62
05-01-2019 02:00,0.48,96.62%,0,0,99.32,5.15,1.62
05-01-2019 03:00,0.48,96.56%,0.01,0,99.29,5.25,1.7
05-01-2019 04:00,0.44,96.94%,0.01,0,99.29,4.87,1.71
05-01-2019 05:00,0.4,97.12%,0.02,0,99.31,4.73,1.78
05-01-2019 06:00,0.38,97.12%,0.02,0,99.33,4.79,1.87
05-01-2019 07:00,0.33,97.25%,0.02,0,99.37,4.91,1.87
05-01-2019 08:00,0.58,96.19%,0.01,53.84,99.43,4.93,2.3
05-01-2019 09:00,1.25,93.44%,0,58.43,99.49,4.54,2.98
05-01-2019 10:00,2.07,89.50%,0,122.23,99.52,3.55,3.61
05-01-2019 11:00,2.82,84.69%,0,142.12,99.48,2.28,4.14
05-01-2019 12:00,3.35,81.56%,0.01,170.39,99.46,1.64,4.23
05-01-2019 13:00,3.66,81.12%,0.01,186.16,99.47,2.33,4.17
05-01-2019 14:00,3.77,82.50%,0.01,116.74,99.5,3.38,3.8
05-01-2019 15:00,3.66,85.56%,0.01,80.12,99.55,3.79,3.19
05-01-2019 16:00,3.26,87.31%,0.01,28.69,99.61,4.33,2.33
05-01-2019 17:00,3.01,88.88%,0.01,0,99.65,4.98,2.05
05-01-2019 18:00,2.76,91.06%,0.02,0,99.67,5.55,1.98
05-01-2019 19:00,2.48,93.50%,0.05,0,99.67,5.77,1.96
05-01-2019 20:00,2.44,95.06%,0.12,0,99.65,5.93,2.25
05-01-2019 21:00,2.48,96.06%,0.07,0,99.62,6.27,2.54
05-01-2019 22:00,2.48,96.38%,0.04,0,99.61,6.42,2.57
05-01-2019 23:00,2.36,96.50%,0.03,0,99.63,6.15,2.29
06-01-2019 00:00,2.32,95.88%,0.02,0,99.68,6.28,2.12
06-01-2019 01:00,2.44,94.12%,0.21,0,99.8,6.44,2.18
06-01-2019 02:00,2.55,92.69%,0.27,0,99.92,6.61,2.26
06-01-2019 03:00,2.48,91.69%,0.15,0,100.02,6.84,2.19
06-01-2019 04:00,2.13,90.69%,0.07,0,100.14,6.91,2.06
06-01-2019 05:00,1.7,90.88%,0.03,0,100.31,6.91,1.95
06-01-2019 06:00,1.4,91.19%,0.02,0,100.48,7.2,1.93
06-01-2019 07:00,1.16,89.69%,0.02,0,100.63,7.6,1.9
06-01-2019 08:00,1.12,84.94%,0.01,45.12,100.79,7.76,2.28
06-01-2019 09:00,1.44,76.88%,0.01,135.67,100.94,8,2.84
06-01-2019 10:00,1.51,71.44%,0.02,224.84,101.06,8.21,3.17
06-01-2019 11:00,1.31,69.19%,0.05,283.7,101.15,7.84,3.3
06-01-2019 12:00,1.08,67.38%,0.07,330.89,101.2,7.4,3.26
06-01-2019 13:00,0.83,65.62%,0.06,285.83,101.27,7.08,3.08
06-01-2019 14:00,0.53,65.06%,0.03,245.73,101.39,7.05,2.73
